"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1962-08","190","0","0","43","0","0.0","0.93","87","70","2.26","0.0","67.1","79.5","54.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1962-09","191","0","0","27","0","0.0","1.20","82","365","2.51","0.0","55.2","67.7","42.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1962-10","194","1","0","20","1","0.5","0.37","77","871","0.45","0.5","48.8","59.4","38.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1962-11","194","4","0","12","1","0.5","0.08","53","1836","0.15","0.5","32.8","40.7","25.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1962-12","194","27","2","-21","6","4.0","0.35","58","3390","0.84","7.0","14.9","26.0","3.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-01","0","31","0","-35","6","0.5","0.05","39","5423","0.05","0.5","-0.6","9.8","-10.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-02","0","28","4","-29","11","3.0","0.15","43","7029","0.59","8.0","7.6","21.3","-6.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-03","0","24","6","-14","17","4.0","0.25","73","8143","1.04","13.5","29.1","42.9","15.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-04","0","0","0","17","0","0.0","0.66","74","8793","2.62","0.0","43.3","57.4","29.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-05","0","0","0","27","0","0.0","1.42","83","9204","3.93","0.0","51.7","65.1","38.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-06","115","0","0","39","0","0.0","1.30","89","9266","3.87","0.0","66.7","79.8","53.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-07","309","0","0","44","0","0.0","1.16","90","7","4.14","0.0","71.0","83.2","58.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-08","387","0","0","41","0","0.0","0.85","87","55","2.41","0.0","66.0","78.5","53.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-09","397","0","0","31","0","0.0","0.62","81","215","1.42","0.0","60.0","71.9","48.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-10","402","0","0","20","0","0.0","0.45","88","489","0.51","0.0","56.4","69.5","43.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-11","402","9","1","-2","2","2.0","0.88","55","1421","1.38","2.0","33.9","42.7","25.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1963-12","402","31","4","-27","9","4.0","0.39","42","3217","0.66","9.5","7.1","16.9","-2.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-01","0","31","3","-25","12","2.0","0.16","42","4801","0.41","5.5","13.9","25.5","2.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-02","0","29","2","-21","14","2.0","0.18","49","6281","0.34","4.0","14.0","29.2","-1.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-03","0","31","2","-13","13","3.0","0.32","55","7678","0.77","5.5","19.9","33.3","6.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-04","0","7","3","4","6","5.0","0.97","78","8362","3.30","7.5","42.2","56.9","27.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-05","29","0","0","31","0","0.0","0.68","93","8588","2.69","0.0","58.6","72.4","44.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-06","97","0","0","27","0","0.0","1.05","90","8734","5.30","0.0","62.4","75.7","49.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-07","280","0","0","49","0","0.0","1.10","94","3","3.39","0.0","70.8","83.7","57.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-08","359","0","0","36","0","0.0","2.25","92","145","4.77","0.0","63.0","75.3","50.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-09","367","0","0","28","0","0.0","1.00","83","466","3.46","0.0","54.6","66.6","42.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-10","367","0","0","21","0","0.0","0.25","74","1014","0.38","0.0","45.4","56.7","34.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-11","367","4","1","-25","6","6.5","0.50","64","2063","0.88","6.5","30.1","38.4","21.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1964-12","367","31","5","-25","15","6.5","0.35","30","3883","0.97","14.5","6.3","16.2","-3.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-01","0","31","4","-40","16","2.5","0.17","35","5760","0.45","6.5","2.2","16.1","-11.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-02","0","28","1","-32","19","4.0","0.23","36","7344","0.37","4.5","6.4","19.8","-6.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-03","0","31","10","-28","30","6.0","0.75","39","8852","2.61","24.5","14.3","28.2","0.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-04","0","12","0","22","29","0.0","0.85","76","9601","1.53","0.0","40.0","50.2","29.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-05","2","0","0","30","0","0.0","1.52","80","9921","4.78","0.0","54.7","67.2","42.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-06","22","0","0","39","0","0.0","1.16","84","10019","3.95","0.0","62.4","75.2","49.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-07","99","0","0","44","0","0.0","0.57","90","29","1.91","0.0","66.6","78.9","54.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-08","173","0","0","33","0","0.0","1.84","90","110","3.82","0.0","64.8","77.7","51.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-09","173","0","0","19","0","0.0","0.98","76","609","5.83","0.0","48.3","57.4","39.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-10","173","0","0","19","0","0.0","0.44","70","1195","1.21","0.0","46.1","56.0","36.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-11","173","18","6","-3","19","10.0","1.11","65","2302","2.66","22.5","27.1","35.8","18.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1965-12","173","31","7","-16","20","3.0","0.32","40","3689","1.68","14.4","20.2","27.8","12.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-01","0","31","5","-41","24","8.0","0.61","24","5881","0.99","15.0","-5.7","6.9","-18.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-02","0","28","0","-34","21","0.5","0.54","43","7453","0.85","1.0","8.9","22.3","-4.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-03","0","31","4","-20","36","12.0","1.05","54","8563","2.94","24.0","29.2","40.2","18.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-04","0","11","7","15","6","6.0","0.78","61","9427","2.76","15.9","36.2","45.9","26.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-05","5","0","0","16","0","0.0","0.81","83","9891","1.54","0.0","49.6","63.0","36.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-06","97","0","0","35","0","0.0","1.16","93","10005","2.06","0.0","64.3","77.2","51.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-07","307","0","0","48","0","0.0","1.39","93","1","4.30","0.0","71.7","84.6","58.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-08","368","0","0","43","0","0.0","1.56","86","99","6.07","0.0","63.8","76.0","51.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-09","384","0","0","29","0","0.0","0.17","85","359","0.44","0.0","56.9","70.1","43.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-10","384","0","0","22","0","0.0","1.77","78","988","2.60","0.0","44.7","55.7","33.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-11","384","15","2","-4","4","3.0","0.30","45","2211","0.55","4.0","24.2","33.4","15.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1966-12","384","28","5","-17","10","4.0","0.36","40","3834","1.10","10.0","12.7","22.1","3.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-01","0","31","8","-40","22","6.0","0.39","36","5589","1.58","17.5","8.4","19.4","-2.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-02","0","28","2","-37","23","2.0","0.16","42","7314","0.41","5.6","3.4","19.0","-12.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-03","0","30","5","-30","23","6.0","0.51","69","8572","1.37","10.4","24.4","36.9","11.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-04","0","0","0","1","0","0.5","0.55","62","9339","2.24","0.5","39.4","51.0","27.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-05","0","0","0","18","0","0.0","0.35","76","9862","0.69","0.0","48.1","61.3","35.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-06","24","0","0","37","0","0.0","1.27","86","9978","5.19","0.0","61.9","73.9","49.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-07","148","0","0","38","0","0.0","0.39","92","50","1.24","0.0","67.4","80.3","54.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-08","213","0","0","37","0","0.0","0.39","89","139","0.81","0.0","64.2","78.0","50.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-09","224","0","0","26","0","0.0","0.63","85","353","1.28","0.0","58.2","72.1","44.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-10","224","0","0","19","0","0.5","0.50","77","1025","1.39","0.5","43.3","53.7","32.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-11","224","8","1","-3","2","1.5","0.18","55","2122","0.52","2.0","27.2","34.8","19.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1967-12","224","27","4","-34","7","3.0","0.25","42","3678","1.09","8.5","14.8","23.5","6.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-01","0","31","3","-37","12","4.0","0.30","42","5455","0.71","7.5","7.7","18.9","-3.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-02","0","29","0","-25","11","0.5","0.02","42","7089","0.02","0.5","8.7","21.4","-4.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-03","0","20","1","-8","9","2.5","0.43","71","8095","1.17","2.5","32.5","45.9","19.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-04","0","8","4","3","8","6.0","0.71","79","8764","3.61","15.5","42.7","55.3","30.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-05","0","0","0","21","0","0.0","0.40","77","9180","2.48","0.0","51.6","63.6","39.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-06","26","0","0","39","0","0.0","1.15","83","9291","7.04","0.0","62.1","74.0","50.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-07","136","0","0","43","0","0.0","0.52","85","49","1.85","0.0","66.9","78.3","55.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-08","222","0","0","40","0","0.0","1.25","88","120","2.89","0.0","65.5","77.0","54.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-09","229","0","0","28","0","0.0","1.20","80","348","3.69","0.0","57.6","68.2","47.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-10","229","0","0","28","0","0.0","0.90","75","881","3.13","0.0","47.8","57.7","37.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-11","229","4","2","10","2","2.0","0.20","55","1905","0.34","4.0","30.9","38.0","23.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1968-12","229","31","6","-32","23","10.0","0.88","39","3585","2.35","27.6","10.8","19.0","2.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-01","0","31","13","-27","38","5.0","0.48","30","5484","3.44","34.5","3.7","13.5","-6.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-02","0","28","1","-24","36","1.5","0.26","40","6900","0.42","3.0","14.4","25.3","3.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-03","0","30","0","-11","29","0.5","0.15","47","8265","0.24","0.5","20.9","34.3","7.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-04","0","13","0","16","19","0.0","0.90","71","8889","1.35","0.0","44.2","57.3","31.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-05","18","0","0","28","0","0.0","1.38","90","9253","3.61","0.0","53.8","67.1","40.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-06","27","0","0","32","0","0.0","0.48","82","9511","2.32","0.0","56.7","69.1","44.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-07","155","0","0","40","0","0.0","3.18","92","43","6.52","0.0","67.7","79.9","55.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-08","313","0","0","47","0","0.0","1.10","90","52","1.90","0.0","69.8","82.8","56.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-09","336","0","0","31","0","0.0","1.44","85","296","4.27","0.0","57.6","68.5","46.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-10","336","6","2","17","4","3.0","3.05","71","1057","5.04","4.0","40.5","48.9","32.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-11","336","18","3","-5","7","3.0","0.42","64","2137","1.09","7.5","29.0","36.8","21.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1969-12","336","31","5","-16","16","5.0","0.37","42","3626","1.31","16.5","17.0","24.7","9.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-01","0","31","2","-36","17","2.0","0.13","39","5486","0.28","4.5","2.6","14.2","-9.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-02","0","28","1","-31","20","4.0","0.16","47","6993","0.25","6.1","11.2","24.7","-2.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-03","0","31","1","-11","17","1.0","0.67","45","8430","0.96","2.5","18.7","33.0","4.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-04","0","17","3","-4","13","12.0","1.30","73","9207","3.66","14.5","39.1","50.7","27.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-05","4","0","0","23","0","0.0","0.65","82","9657","1.95","0.0","50.1","61.8","38.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-06","111","0","0","42","0","0.0","0.90","90","9716","2.74","0.0","66.6","79.5","53.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-07","308","0","0","49","0","0.0","1.90","91","6","2.43","0.0","71.1","84.9","57.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-08","430","0","0","36","0","0.0","0.32","95","44","0.49","0.0","67.7","80.8","54.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-09","483","0","0","27","0","0.0","0.57","88","305","1.35","0.0","58.1","70.0","46.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-10","487","4","1","25","2","1.0","1.38","82","924","5.72","1.5","45.1","54.8","35.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-11","487","11","3","-6","7","4.0","0.60","50","2058","1.35","7.5","27.2","34.3","20.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1970-12","487","31","6","-22","24","8.0","0.76","40","3792","2.35","24.0","9.1","19.7","-1.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-01","0","31","8","-30","28","4.0","0.22","28","5864","0.74","16.5","-1.8","9.8","-13.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-02","0","28","2","-29","30","7.0","0.75","45","7337","1.11","12.6","12.4","24.7","0.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-03","0","31","3","-18","25","4.0","0.40","50","8631","0.82","8.5","23.3","35.0","11.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-04","0","16","1","2","20","3.0","0.24","70","9354","0.93","3.5","40.9","53.9","28.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-05","0","0","0","27","0","0.0","1.00","80","9754","2.69","0.0","52.1","66.5","37.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-06","95","0","0","39","0","0.0","2.80","86","9795","4.84","0.0","66.8","79.8","53.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-07","152","0","0","43","0","0.0","0.60","85","58","2.65","0.0","65.0","76.4","53.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-08","224","0","0","39","0","0.0","0.74","90","107","1.17","0.0","65.7","78.8","52.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-09","271","0","0","29","0","0.0","1.03","88","350","3.58","0.0","58.5","69.6","47.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-10","271","0","0","27","0","0.0","2.76","72","855","6.80","0.0","48.7","57.7","39.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-11","271","15","4","3","6","2.0","0.38","50","1971","1.49","7.0","27.8","34.1","21.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1971-12","271","31","3","-20","12","4.0","0.15","35","3590","0.47","8.0","12.8","22.2","3.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-01","0","31","4","-42","23","8.0","0.62","36","5626","1.06","17.0","-0.7","10.6","-12.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-02","0","29","5","-28","24","3.0","0.18","33","7377","0.58","11.0","4.6","16.7","-7.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-03","0","31","4","-26","26","3.0","0.28","46","8733","1.04","7.0","21.2","32.8","9.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-04","0","17","2","8","10","2.0","0.45","70","9556","1.55","3.0","37.6","48.7","26.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-05","51","0","0","26","0","0.0","0.55","89","9803","2.15","0.0","58.7","72.0","45.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-06","117","0","0","38","0","0.0","0.55","87","9887","1.89","0.0","64.4","77.9","50.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-07","180","0","0","39","0","0.0","2.00","86","33","4.72","0.0","65.9","77.8","54.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-08","293","0","0","41","0","0.0","1.13","88","92","3.44","0.0","66.7","78.4","55.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-09","293","0","0","29","0","0.0","1.60","74","423","3.49","0.0","54.0","64.7","43.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-10","293","0","0","14","0","0.0","0.58","71","1146","1.89","0.0","41.7","50.5","32.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-11","293","2","0","3","2","0.5","0.15","50","2281","0.21","0.5","27.2","32.9","21.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1972-12","293","31","4","-25","14","6.0","0.55","29","4097","1.35","13.0","6.4","15.5","-2.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-01","0","31","0","-34","12","0.5","0.03","48","5752","0.16","0.5","11.6","22.9","0.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-02","0","28","0","-30","10","0.0","0.01","40","7156","0.01","0.0","14.9","26.7","3.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-03","0","14","0","11","9","0.0","0.32","59","8075","0.97","0.0","35.3","45.2","25.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-04","0","0","0","13","0","0.0","0.82","73","8783","1.23","0.0","41.4","54.5","28.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-05","0","0","0","27","0","0.0","0.46","78","9148","1.47","0.0","53.2","66.4","40.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-06","36","0","0","42","0","0.0","0.65","85","9212","3.21","0.0","64.1","76.4","51.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-07","162","0","0","46","0","0.0","0.76","90","18","4.88","0.0","68.5","80.4","56.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-08","305","0","0","47","0","0.0","0.36","90","34","1.61","0.0","69.4","80.3","58.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-09","327","0","0","26","0","0.0","0.85","82","334","2.88","0.0","55.7","66.3","45.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-10","327","0","0","25","0","0.0","2.22","72","793","3.82","0.0","50.2","59.5","40.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-11","327",,,"7",,,"0.80","53","1902","1.37",,"28.0","35.3","20.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1973-12","327",,,"-31",,,"0.18","35","3538","0.63",,"12.2","21.1","3.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-01","0",,,"-35",,,"0.18","35","5323","0.53",,"5.6","17.3","-6.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-02","0","28","2","-29","15","2.0","0.21","40","6786","0.46","3.0","12.7","26.3","-0.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-03","0",,,"-28",,,"0.28","46","8123","0.80",,"21.9","33.2","10.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-04","1","15","1","10","18","6.0","0.75","79","8847","2.53","6.5","40.9","53.5","28.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-05","2","0","0","24","0","0.0","1.35","75","9311","4.35","0.0","50.1","61.2","39.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-06","52","0","0","40","0","0.0","1.48","84","9381","3.34","0.0","64.0","76.8","51.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-07","278","0","0","51","0","0.0","2.70","94","6","5.31","0.0","72.5","84.2","60.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-08","343","0","0","43","0","0.0","1.18","85","85","4.21","0.0","64.5","74.8","54.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-09","343","0","0","26","0","0.0","0.25","78","468","0.63","0.0","52.2","64.0","40.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-10","343","1","1","20","2","1.5","0.92","73","1064","1.84","1.5","45.8","56.7","34.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-11","343","7","3","6","2","1.0","1.20","57","2056","1.82","3.0","30.6","37.9","23.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1974-12","343","31","5","-4","11","3.0","0.34","38","3439","0.90","9.0","20.4","28.3","12.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-01","0","31","7","-25","28","11.0","1.55","30","5132","3.31","29.0","10.4","20.2","0.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-02","0","28","3","-25","28","1.0","0.05","41","6627","0.25","4.5","11.6","23.6","-0.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-03","0","31","6","-16","28","6.0","0.65","46","8052","1.76","18.0","19.0","31.2","6.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-04","0",,"0","-7",,"0.0","0.52","61","8977","2.26","0.0","34.2","44.3","24.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-05","17","0","0","30","0","0.0","0.83","86","9233","2.39","0.0","57.3","71.7","42.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-06","89","0","0","41","0","0.0","1.16","86","9348","4.72","0.0","63.6","74.6","52.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-07","349","0","0","43","0","0.0","3.00","95","16","4.57","0.0","72.9","84.0","61.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-08","429","0","0","41","0","0.0","0.52","88","63","1.48","0.0","66.1","77.0","55.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-09","432","0","0","28","0","0.0","1.63","74","402","3.91","0.0","53.8","63.6","44.0"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-10","432","0","0","20","0","0.0","1.30","79","922","2.18","0.0","47.6","58.2","37.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-11","432","11","1","-7","4","4.0","0.58","69","1938","1.41","4.0","31.1","40.4","21.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1975-12","432","31","4","-27","9","2.0","0.20","33","3582","0.74","6.5","12.0","21.1","2.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-01","0","31","5","-33","18","4.0","0.25","36","5432","1.09","11.0","5.3","16.9","-6.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-02","0","29","3","-27","17","2.0","0.11","55","6699","0.47","5.0","21.3","33.2","9.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-03","0","31","4","-15","28","9.0","0.97","54","8006","1.91","17.5","22.8","35.0","10.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-04","0","5","0","19","4","0.0","0.28","74","8569","0.50","0.0","46.2","60.5","31.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-05","2","0","0","24","0","0.0","0.27","81","8892","0.46","0.0","54.7","69.7","39.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-06","108","0","0","44","0","0.0","1.97","90","8937","8.27","0.0","67.0","80.4","53.7"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-07","274","0","0","49","0","0.0","1.03","92","8","2.24","0.0","70.1","83.3","56.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-08","428","0","0","36","0","0.0","0.52","99","53","1.29","0.0","68.6","82.6","54.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-09","463","0","0","27","0","0.0","0.23","94","319","0.52","0.0","57.2","71.2","43.2"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-10","463","0","0","9","0","0.0","0.16","78","1068","0.39","0.0","39.4","50.1","28.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1976-11","463","2","2","-22","2","2.0","0.12","53","2293","0.26","3.0","22.7","31.5","13.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1977-01","0","31","5","-36","14","3.0","0.20","31",,"0.64","9.0","-2.9","6.7","-12.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1977-02","0","28","3","-20","17","5.5","0.85","47",,"1.39","10.0","16.7","28.2","5.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1977-03","0","28","2","-10","17","5.0","0.42","60",,"1.57","8.5","32.3","43.7","20.8"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1977-04","1","1","1","10","1","1.0","1.05","88",,"1.93","1.0","46.5","60.6","32.4"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1977-05","77","0","0","28","0","0.0","0.90","87",,"3.26","0.0","64.2","78.8","49.6"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1977-06","128","0","0","41","0","0.0","0.86","87",,"4.42","0.0","64.7","76.8","52.5"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1977-07","301","0","0","43","0","0.0","2.00","91","11","3.52","0.0","70.2","82.1","58.3"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1977-08","303","0","0","35","0","0.0","1.51","76","144","5.22","0.0","60.4","71.7","49.1"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1977-09","303","0","0","37","0","0.0","0.98","74","421","4.47","0.0","55.4","63.9","46.9"
"USC00219059","WINNIBIGOSHISH DAM, MN US","1977-10","303","0","0","25","0","0.0","0.85","68","1005","2.20","0.0","46.2","56.7","35.6"
