STATION,NAME,DATE,AWND,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1994-04,,0,2,1,14,4,2.7,1.91,76,9200,3.46,3.5,42.9,53.6,32.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1994-05,,46,0,0,30,0,0,0.52,89,9426,1.74,0,59.2,71,47.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1994-06,,157,0,0,44,0,0,0.25,97,9458,1.49,0,67.6,77.6,57.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1994-07,,275,0,0,49,0,0,1.2,88,15,3.38,0,68.3,77.2,59.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1994-08,,366,0,0,48,0,0,0.53,90,76,2.35,0,65.9,75.4,56.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1994-09,,423,0,0,38,0,0,0.55,84,241,2.26,0,61.4,70.7,52.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1994-10,,423,0,0,26,0,0,0.94,68,733,3.76,0,49.1,56.8,41.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1994-11,,423,3,1,11,4,3.6,0.3,62,1660,0.82,4.2,34.1,42,26.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1994-12,,423,31,2,-9,7,2.4,0.24,45,3041,0.41,4.9,20.4,27.6,13.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-01,,0,31,3,-15,6,2.3,0.69,37,4696,1.05,6.4,11.6,19.8,3.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-02,,0,28,3,-17,13,4.4,0.22,47,6158,0.58,8.4,12.8,23.2,2.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-03,,0,18,4,-17,16,4.3,0.49,60,7261,1.87,15.3,29.4,37.1,21.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-04,,0,3,2,3,5,5,0.54,58,8088,1.75,6.5,37.4,45.5,29.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-05,,6,0,0,36,0,0,1.29,82,8424,2.82,0,54.4,64.2,44.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-06,,209,0,0,39,0,0,0.58,99,8481,2.92,0,69.9,80.1,59.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-07,,387,0,0,48,0,0,1.43,95,14,5.22,0,70.3,79.9,60.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-08,,582,0,0,51,0,0,1.71,91,15,4.75,0,71.3,80,62.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-09,,621,0,0,30,0,0,2.83,88,265,4.85,0,58,67.8,48.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-10,,628,3,2,26,2,3.2,0.65,82,918,2.4,6,44.1,50.8,37.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1995-11,,628,15,2,1,2,1.2,0.12,53,2176,0.31,4.4,23.1,30.1,16.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1996-07,,,,,47,,,,88,13,,,67.6,77.9,57.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1996-08,,,,,47,,,,90,24,,,69.1,80.4,57.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1996-09,,,,,36,,,,87,254,,,58.9,67.8,50,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1996-10,,,,,12,,,,76,859,,,45.5,55.3,35.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1996-11,,,,,-17,,,,56,2218,,,19.7,26.7,12.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1996-12,,,,,-25,,,,32,3997,,,7.6,14.4,0.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-01,,0,,,-28,,,,41,5906,,,3.4,12,-5.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-02,,0,,,-22,,,,37,7342,,,13.7,23,4.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-03,,0,,,-17,,,,47,8640,,,21.7,30.8,12.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-04,,0,,,4,,,,71,9398,,,38.9,49.3,28.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-05,,0,,,29,,,,79,9853,,,50.3,61.1,39.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-07,,,,,46,,,,88,56,,,68.1,76,60.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-08,,,,,44,,,,88,109,,,66.3,75.5,57,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-09,,,,,37,,,,84,253,,,61,71.3,50.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-10,,,,,18,,,,85,827,,,46.8,57.3,36.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-11,,,,,0,,,,42,2009,,,24.2,29.8,18.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1997-12,,,,,-14,,,,42,3297,,,23.5,29.5,17.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-01,,0,,,-19,,,,46,4880,,,13.9,21.6,6.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-02,,0,,,-9,,,,51,5917,,,28,33.3,22.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-03,,0,,,-8,,,,61,7103,,,26.7,33.4,20.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-04,11.2,0,,,26,,,0.34,77,7614,0.89,,48,60,35.9,,200,170,40,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-05,10.7,27,,,40,,,1.14,91,7783,4.17,,60.3,72.2,48.3,,160,180,44.1,54
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-06,10.1,82,,,36,,,1.12,83,7915,3.92,,62.4,71.6,53.2,,280,280,36.9,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-07,8.3,231,,,51,,,2.5,91,9,5.7,,69.5,79.1,60,,80,40,30,36
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-08,8.7,402,,,51,,,1.28,92,12,2.78,,70.4,81.3,59.5,,250,240,55,67
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-09,10.1,487,,,37,,,0.36,92,126,0.65,,64,76,52,,300,300,29.1,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-10,11.6,487,,,28,,,1.75,69,649,5.04,,48.1,56.9,39.3,,280,280,33.1,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-11,11.4,487,,,11,,,0.01,59,1647,0.02,,31.7,37.7,25.7,,300,310,36.9,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1998-12,10.7,487,,,-17,,,0,56,3036,0,,20.2,29.6,10.8,,350,140,25.9,34
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-01,,,,,,,,0.08,,,0.14,,,,,,,320,,40
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-02,12.8,,,,-8,,,0.03,43,,0.03,,22.8,30,15.5,,320,310,36,44
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-03,11.2,,,,6,,,0.53,66,,0.83,,30.5,39.2,21.9,,300,310,46.1,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-04,11.9,,,,21,,,0.33,73,,1.22,,44.3,53.5,35.1,,100,110,33.1,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-05,12.1,,,,36,,,1.07,85,,4.26,,56.7,66,47.3,,140,150,36.9,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-06,10.5,,,,43,,,1.12,87,,4.14,,65.1,74.2,56,,240,230,36,61
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-07,9.2,,,,51,,,2.14,92,6,3.83,,72.1,82.7,61.5,,280,260,36,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-08,9.6,,,,52,,,3.05,89,24,5,,68.1,77.6,58.5,,170,180,32,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-09,10.3,,,,35,,,1.27,83,306,3.13,,56.2,65.7,46.8,,310,290,30,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-10,10.7,,,,22,,,0.44,79,926,0.5,,45,55.8,34.2,,310,300,38.9,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-11,10.3,,,,13,,,0.05,76,1736,0.05,,38,48.5,27.5,,290,280,44.1,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1999-12,10.5,,,,-15,,,0.03,50,3012,0.07,,22.3,31.6,12.9,,330,310,36.9,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-01,10.3,0,,,-21,,,0.03,37,4719,0.09,,9.9,19.5,0.3,,320,320,30,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-02,10.1,0,,,-11,,,0.34,52,5960,0.78,,22.2,30.8,13.6,,150,150,33.1,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-03,10.7,0,,,10,,,1.23,69,6848,1.67,,36.4,46.4,26.3,,300,10,33.1,40
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-04,11.6,0,,,21,,,0.56,74,7520,1.37,,42.6,53.1,32,,270,310,38,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-05,11.2,22,,,34,,,1.73,90,7782,3.45,,57.3,68.1,46.5,,310,310,38,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-06,10.7,69,,,39,,,0.93,94,7924,2.17,,61.8,72.1,51.5,,290,280,30,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-07,8.7,231,,,47,,,1.35,92,36,4.2,,69,78.3,59.7,,310,310,33.1,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-08,9.4,368,,,45,,,0.93,90,57,1.59,,68.8,79.6,57.9,,310,170,29.1,35
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-09,10.5,386,,,28,,,0.32,88,293,1.06,,57.7,70.6,44.9,,180,170,33.1,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-10,9.6,388,,,22,,,0.71,85,816,2.14,,48.2,58,38.3,,270,310,30,36
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-11,11.9,388,,,1,,,2.11,65,1930,3.65,,26.1,32.3,19.9,,230,180,34.9,44
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2000-12,10.7,388,,,-21,,,0.03,32,3901,0.11,,1.4,9.3,-6.5,,320,330,34.9,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-01,9.6,0,,,-17,,,0.39,41,5443,0.55,,15.3,23.8,6.7,,270,290,33.1,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-02,10.5,0,,,-24,,,0.26,45,7099,0.41,,4,14.2,-6.2,,300,310,33.1,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-03,9.6,0,,,-6,,,0.16,42,8432,0.28,,22,30.3,13.7,,320,300,29.1,35
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-04,12.5,6,,,19,,,2.07,82,9106,5.17,,42.8,51.8,33.7,,310,170,36,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-05,11.2,24,,,37,,,0.64,93,9370,2.4,,57.1,66.9,47.2,,270,230,38,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-06,10.3,127,,,46,,,0.44,96,9452,1.35,,65.7,75.4,56,,130,130,36.9,44
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-07,9.4,362,,,48,,,1.48,93,17,3.04,,72,81.7,62.4,,30,40,40,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-08,8.9,547,,,46,,,1.42,94,32,2.08,,70.5,82.4,58.6,,280,290,31.1,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-09,8.7,574,,,33,,,0.4,87,272,1.85,,57.9,67.3,48.5,,310,320,32,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-10,11.9,574,,,20,,,0.45,79,888,1.11,,45.1,54.8,35.5,,300,300,40,51
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-11,11.6,574,,,17,,,0.75,71,1623,0.96,,40.5,49.2,31.7,,320,310,33.1,40
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2001-12,11.9,574,,,-7,,,0.18,41,2972,0.21,,21.5,28.3,14.7,,270,270,38,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-01,10.3,0,,,-9,,,0,47,4402,0,,18.9,27,10.7,,310,260,23.9,31
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-02,12.1,0,,,-9,,,0.22,49,5529,0.56,,24.8,34.1,15.4,,300,300,47,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-03,11,0,,,-13,,,0.09,47,6900,0.32,,17.7,26,9.5,,300,290,38.9,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-04,11.4,1,,,6,,,0.71,81,7658,1.78,,39.8,48.7,30.9,,240,240,38.9,51
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-05,12.1,23,,,27,,,1.1,90,8107,2.68,,51.2,62.4,40,,290,280,38,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-06,11.2,156,,,45,,,0.76,93,8156,1.78,,67.8,77.5,58.1,,210,210,40.9,51
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-07,9.2,403,,,51,,,3.3,94,9,6.68,,72.7,82.5,62.8,,260,250,46.1,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-08,10.3,507,,,44,,,1.19,87,44,3.13,,67.2,76.9,57.6,,260,240,34.9,44
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-09,10.3,580,,,32,,,0.38,90,230,0.77,,61.2,71.5,50.9,,160,160,38.9,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-10,9.8,580,,,16,,,0.57,71,1094,1.43,,37.1,43.6,30.7,,180,170,31.1,37
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-11,10.5,580,,,7,,,0.43,64,2171,0.46,,29.1,36.7,21.4,,300,330,34.9,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2002-12,11.2,580,,,-3,,,0.07,47,3525,0.12,,21.3,29.1,13.6,,300,300,32,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-01,11.2,0,,,-18,,,0.07,46,5209,0.13,,10.7,18.7,2.7,,310,280,33.1,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-02,11.2,0,,,-19,,,0.07,43,6727,0.08,,10.8,20.7,0.8,,310,320,34.9,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-03,11,0,,,-17,,,0.34,71,7934,0.48,,26.1,36.3,15.8,,280,260,33.1,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-04,12.3,6,,,14,,,1.84,87,8562,2.7,,44.3,54.7,33.8,,70,70,38,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-05,10.7,7,,,36,,,0.64,80,8887,3.21,,54.5,65,44.1,,110,120,38.9,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-06,8.3,66,,,41,,,4.22,89,8980,10.9,,63.9,74,53.8,,290,300,53.9,74
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-07,9.4,237,,,52,,,1.59,90,6,3.43,,70.3,80.2,60.4,,320,200,38,58
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-08,8.9,472,,,48,,,0.13,96,17,0.25,,72.2,83.4,61.1,,140,140,31.1,37
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-09,11.2,517,,0,29,,0,1.1,91,259,1.76,0,58.5,69.1,47.8,,280,280,36,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-10,10.3,528,,,22,,,0.61,86,776,1.02,,48.7,58.8,38.6,,270,290,34.9,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-11,12.1,528,,,0,,,0.05,50,1930,0.11,,26.5,33.2,19.9,,290,300,40,51
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2003-12,11.4,528,,,-9,,,0.08,41,3319,0.21,,20.2,26.8,13.6,,330,270,30,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-01,10.7,0,,,-30,,,0.05,38,5173,0.12,,5.2,13.6,-3.3,,300,290,36.9,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-02,10.3,0,,,-19,,,0.06,40,6583,0.26,,16.4,23.8,9,,140,140,28,32
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-03,12.3,0,,,0,,,0.48,64,7563,1.02,,32,41.9,22,,300,300,38.9,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-04,11.2,1,0,0,21,0,0,1.13,91,8158,1.94,0,45.2,57.7,32.7,,300,300,34.9,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-05,11.9,4,,,27,,,0.85,85,8556,4.33,,52.2,62.3,42.2,,170,210,36,51
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-06,9.6,34,,,42,,,0.89,88,8696,3.27,,61.4,70.9,51.8,,260,150,30,37
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-07,8.1,162,,,48,,,0.95,91,38,3.26,,67.9,77.1,58.6,,260,260,25.9,32
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-08,9.4,193,,,39,,,0.53,83,171,2.09,,61.7,71.7,51.7,0,160,290,31.1,36
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-09,11.6,261,,,38,,,1.44,87,286,2.99,,63.4,73.3,53.6,0,160,150,32,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-10,11.4,261,,,26,,,1.13,77,831,1.89,,47.4,56,38.9,,310,310,33.1,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-11,10.1,261,,,14,,,0.31,62,1745,0.38,,34.5,42.7,26.4,,310,300,30,36
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2004-12,12.5,261,,,-14,,,0.04,41,3173,0.15,,18.9,27,10.8,,310,300,40.9,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-01,10.1,0,,,-26,,,0.23,37,4920,0.63,,8.6,17,0.3,0,320,310,38,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-02,9.6,0,,,-5,,,0.15,48,6185,0.3,,19.8,28.5,11.1,,280,270,29.1,36
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-03,10.3,0,,,-4,,,0.57,63,7352,0.73,,27.4,37.1,17.6,,300,300,36,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-04,11.6,4,,,27,,,1.42,80,7854,2.5,,48.4,58.9,37.8,,290,320,30,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-05,12.5,4,,,26,,,0.92,76,8228,2.57,,53,61.7,44.2,,300,300,38,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-06,9.8,107,,,49,,,1.59,94,8250,6.73,,67.7,76.5,58.9,,270,260,33.1,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-07,10.1,334,,,49,,,1.03,94,13,2.31,,71.9,82.6,61.2,,230,230,36.9,44
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-08,9.4,452,,,48,,,3.45,92,47,5.98,,67.7,77.5,57.9,,300,40,38,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-09,10.7,504,,,34,,,3.19,87,160,7.26,,62.9,73.2,52.7,,140,250,33.1,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-10,10.3,510,,,27,,,1.92,82,690,2.85,,48.1,57.2,39,,290,290,31.1,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-11,11.9,510,,,4,,,1.05,69,1679,2.33,,32,39.9,24.2,,310,320,40.9,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2005-12,9.2,510,,,-12,,,0.09,39,3188,0.24,,16.3,21.8,10.8,,340,320,34.9,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-01,11,0,,,-1,,,0.18,43,4461,0.39,,23.9,30.5,17.3,,310,320,38,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-02,9.6,0,,,-21,,,0.04,36,5969,0.05,,11.1,20.7,1.6,,130,130,25.9,32
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-03,10.1,0,,,6,,,0.56,56,7074,1.02,,29.4,36,22.7,,150,330,31.1,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-04,11.4,0,,,22,,,0.82,80,7532,2.24,,49.7,60,39.5,,150,150,31.1,40
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-05,11,44,,,35,,,0.46,95,7800,1.61,,57.8,67.5,48.1,,170,180,31.1,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-06,8.5,154,,,44,,,0.81,92,7840,2.29,,67.3,78.1,56.5,,300,280,34.9,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-07,8.9,477,,,52,,,0.37,100,0,1.19,,75.4,87.1,63.8,,230,230,38.9,58
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-08,8.9,630,,,53,,,2.46,89,1,4.43,,69.9,80.1,59.6,,200,160,32,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-09,9.4,653,,,36,,,0.97,82,263,4.45,,57.1,65.6,48.5,,160,150,31.1,40
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-10,12.1,657,,,20,,,0.41,82,957,0.63,,42.7,51.9,33.6,,310,300,36.9,49
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-11,10.1,657,,,2,,,0.16,73,1922,0.21,,32.8,42.3,23.4,,300,310,31.1,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2006-12,10.7,657,,,-8,,,0.43,50,3162,0.67,,25,32.8,17.3,,300,300,31.1,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-01,10.7,0,,,-10,,,0.1,41,4693,0.1,,15.6,23.3,8,,150,310,32,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-02,10.5,0,,,-21,,,0.31,42,6255,0.48,,9.2,17.4,1,,300,110,34.9,44
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-03,11.4,0,,,-1,,,0.82,69,7266,2.07,,32.4,40.1,24.7,,150,140,31.1,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-04,10.7,0,,,7,,,1.14,76,7972,2.3,,41.4,50.9,32,,320,330,29.1,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-05,13.4,35,,,38,,,1.65,93,8164,2.96,,59.9,71.5,48.4,,110,130,40,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-06,11,176,,,47,,,0.77,90,8188,1.59,,68.9,79.1,58.7,,280,290,33.1,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-07,8.9,440,,,50,,,0.22,97,3,0.7,,73.4,84.3,62.5,,310,290,34.9,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-08,8.5,565,,,47,,,0.35,95,40,0.9,,67.9,77.6,58.1,,310,310,66,81
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-09,11.6,640,,,34,,,1.42,93,235,3.56,,61,71.9,50.1,,170,160,32,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-10,11.2,646,,,27,,,1.27,83,723,3.67,,49.4,57.9,41,,310,320,38.9,51
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-11,12.3,646,,,-2,,,0.01,58,1763,0.01,,30.3,38.1,22.6,,270,270,38.9,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2007-12,9.2,646,,,-15,,,0.2,33,3433,0.28,,11.1,18.5,3.7,,300,300,31.1,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-01,9.6,0,,,-23,,,0.03,41,5228,0.03,,7.1,16.6,-2.4,,300,310,36.9,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-02,9.6,0,,,-26,,,0.06,36,6834,0.11,,9.6,18.9,0.4,,310,320,34.9,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-03,11,0,,,-19,,,0.27,43,8145,0.49,,22.7,30.9,14.4,,320,310,34.9,44
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-04,12.1,0,,,19,,,0.33,71,8904,1.21,,39.7,49.6,29.9,,180,170,40,51
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-05,11,6,,,32,,,0.89,82,9276,1.79,,53.2,63.9,42.5,,140,30,36.9,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-06,9.4,42,,,47,,,1.41,85,9373,5.02,,62.9,72.8,53.1,,270,280,40.9,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-07,8.7,215,,,50,,,0.99,91,4,3.59,,70.4,80.7,60.2,,220,200,40,60
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-08,9.2,362,,,49,,,1.1,87,14,1.87,,69.4,80.5,58.4,,150,160,32,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-09,10.1,391,,,39,,,0.6,89,209,2.91,,59.5,69.7,49.3,,170,210,32,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-10,10.3,391,,,24,,,1.31,69,782,4.18,,46.5,55.1,37.9,,310,300,40,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-11,10.7,391,,,4,,,1.69,72,1784,2.05,,31.6,38.5,24.7,,290,300,31.1,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2008-12,11.6,391,,,-24,,,0.17,40,3575,0.37,,7.2,17.8,-3.3,,300,310,36,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",2009-01,10.3,0,,,-31,,,0.1,44,5516,0.15,,2.4,12.3,-7.5,,330,330,36,46
