,Name,Date,Total Monthly Precipitation,Total Montly Snowfall (mm),Avg Monthly Temp,Monthly Mean Max Temp,Monthly Mean Min Temp
608,"ROSEAU, MN US",2004-09,2.58,0.0,59.8,70.3,49.3
609,"ROSEAU, MN US",2004-10,2.41,0.0,,52.5,
610,"ROSEAU, MN US",2004-11,,0.8,,39.9,
611,"ROSEAU, MN US",2005-01,,,0.2,8.8,-8.5
612,"ROSEAU, MN US",2005-02,,7.0,,23.3,
613,"ROSEAU, MN US",2005-03,,8.0,21.5,32.7,10.3
614,"ROSEAU, MN US",2005-05,3.50,0.0,,61.4,
615,"ROSEAU, MN US",2005-06,7.46,0.0,,72.7,
616,"ROSEAU, MN US",2005-07,2.60,0.0,68.2,79.4,57.1
617,"ROSEAU, MN US",2005-08,3.70,0.0,,74.3,
618,"ROSEAU, MN US",2005-09,0.98,0.0,58.3,70.2,46.4
619,"ROSEAU, MN US",2005-10,3.56,1.5,,55.3,
620,"ROSEAU, MN US",2005-11,,10.9,,34.5,
621,"ROSEAU, MN US",2005-12,,17.4,,23.1,
622,"ROSEAU, MN US",2006-01,,19.4,19.9,26.6,13.3
623,"ROSEAU, MN US",2006-02,,9.6,,16.6,
624,"ROSEAU, MN US",2006-03,,19.5,25.4,34.0,16.8
625,"ROSEAU, MN US",2006-04,1.23,0.0,,60.4,
626,"ROSEAU, MN US",2006-05,1.27,0.0,54.7,65.4,44.0
627,"ROSEAU, MN US",2006-06,,0.0,,76.5,
628,"ROSEAU, MN US",2006-07,0.76,0.0,,84.4,
629,"ROSEAU, MN US",2006-08,1.65,0.0,,78.3,
630,"ROSEAU, MN US",2006-09,1.94,0.0,56.1,67.4,44.8
631,"ROSEAU, MN US",2006-10,1.54,4.5,,48.2,
632,"ROSEAU, MN US",2006-11,,2.8,,34.9,
633,"ROSEAU, MN US",2006-12,,,,26.6,
634,"WINNIBIGOSHISH DAM, MN US",1950-01,1.70,19.8,-3.1,9.3,-15.5
635,"WINNIBIGOSHISH DAM, MN US",1950-02,0.22,2.6,10.1,24.3,-4.0
636,"WINNIBIGOSHISH DAM, MN US",1950-03,1.37,9.4,17.9,29.5,6.2
637,"WINNIBIGOSHISH DAM, MN US",1950-04,2.78,25.1,29.8,38.8,20.7
638,"WINNIBIGOSHISH DAM, MN US",1950-05,3.10,0.0,48.5,60.0,37.1
639,"WINNIBIGOSHISH DAM, MN US",1950-06,4.56,0.0,62.4,73.4,51.4
640,"WINNIBIGOSHISH DAM, MN US",1950-07,5.28,0.0,65.8,75.3,56.3
641,"WINNIBIGOSHISH DAM, MN US",1950-08,1.74,0.0,61.8,72.8,50.8
642,"WINNIBIGOSHISH DAM, MN US",1950-09,4.79,0.0,58.1,68.3,47.9
643,"WINNIBIGOSHISH DAM, MN US",1950-10,2.58,0.0,47.0,56.0,38.0
644,"WINNIBIGOSHISH DAM, MN US",1950-11,1.11,14.4,23.8,31.2,16.4
645,"WINNIBIGOSHISH DAM, MN US",1950-12,1.06,14.4,5.7,16.1,-4.7
646,"WINNIBIGOSHISH DAM, MN US",1951-01,0.47,6.9,3.2,14.2,-7.8
647,"WINNIBIGOSHISH DAM, MN US",1951-02,1.83,16.0,12.2,22.4,2.0
648,"WINNIBIGOSHISH DAM, MN US",1951-03,2.15,28.3,17.8,28.3,7.3
649,"WINNIBIGOSHISH DAM, MN US",1951-04,1.47,3.5,36.4,46.4,26.3
650,"WINNIBIGOSHISH DAM, MN US",1951-05,1.89,0.0,56.7,68.8,44.7
651,"WINNIBIGOSHISH DAM, MN US",1951-06,2.63,0.0,60.2,70.4,50.1
652,"WINNIBIGOSHISH DAM, MN US",1951-07,1.02,0.0,67.5,78.3,56.6
653,"WINNIBIGOSHISH DAM, MN US",1951-08,4.70,0.0,62.3,71.0,53.6
654,"WINNIBIGOSHISH DAM, MN US",1951-09,4.33,0.0,53.2,61.4,45.1
655,"WINNIBIGOSHISH DAM, MN US",1951-10,3.40,7.5,43.1,51.3,35.0
656,"WINNIBIGOSHISH DAM, MN US",1951-11,0.92,4.0,22.1,29.6,14.6
657,"WINNIBIGOSHISH DAM, MN US",1951-12,2.12,22.7,9.2,18.5,0.0
658,"WINNIBIGOSHISH DAM, MN US",1952-01,0.86,11.9,4.9,17.6,-7.8
659,"WINNIBIGOSHISH DAM, MN US",1952-02,0.08,2.2,19.5,29.5,9.5
660,"WINNIBIGOSHISH DAM, MN US",1952-03,1.01,8.1,21.2,31.8,10.7
661,"WINNIBIGOSHISH DAM, MN US",1952-04,0.57,3.5,44.3,58.3,30.3
662,"WINNIBIGOSHISH DAM, MN US",1952-05,0.49,0.0,54.2,67.2,41.1
663,"WINNIBIGOSHISH DAM, MN US",1952-06,4.86,0.0,65.5,75.7,55.4
664,"WINNIBIGOSHISH DAM, MN US",1952-07,7.67,0.0,,,
665,"WINNIBIGOSHISH DAM, MN US",1952-08,4.25,0.0,63.9,73.8,54.1
666,"WINNIBIGOSHISH DAM, MN US",1952-09,0.24,0.0,57.5,67.3,47.8
667,"WINNIBIGOSHISH DAM, MN US",1952-10,0.13,1.0,40.3,51.5,29.1
668,"WINNIBIGOSHISH DAM, MN US",1952-11,1.27,6.0,30.9,38.9,22.9
669,"WINNIBIGOSHISH DAM, MN US",1952-12,0.21,2.7,20.0,27.2,12.7
670,"WINNIBIGOSHISH DAM, MN US",1953-01,1.02,16.6,10.3,19.8,0.9
671,"WINNIBIGOSHISH DAM, MN US",1953-02,0.30,5.3,12.2,23.6,0.8
672,"WINNIBIGOSHISH DAM, MN US",1953-03,1.19,6.3,26.4,36.2,16.6
673,"WINNIBIGOSHISH DAM, MN US",1953-04,2.48,1.0,37.8,48.0,27.6
674,"WINNIBIGOSHISH DAM, MN US",1953-05,4.10,0.0,53.4,66.9,39.8
675,"WINNIBIGOSHISH DAM, MN US",1953-06,4.12,0.0,65.2,77.1,53.3
676,"WINNIBIGOSHISH DAM, MN US",1953-07,7.31,0.0,68.2,80.1,56.3
677,"WINNIBIGOSHISH DAM, MN US",1953-08,7.32,0.0,68.9,80.3,57.5
678,"WINNIBIGOSHISH DAM, MN US",1953-09,2.23,0.0,56.4,66.4,46.4
679,"WINNIBIGOSHISH DAM, MN US",1953-10,0.69,0.0,51.7,64.0,39.3
680,"WINNIBIGOSHISH DAM, MN US",1953-11,1.44,13.5,34.1,42.5,25.7
681,"WINNIBIGOSHISH DAM, MN US",1953-12,1.39,21.5,13.5,24.3,2.7
682,"WINNIBIGOSHISH DAM, MN US",1954-01,1.43,28.4,-0.3,11.4,-12.0
683,"WINNIBIGOSHISH DAM, MN US",1954-02,1.71,11.2,23.8,34.6,13.0
684,"WINNIBIGOSHISH DAM, MN US",1954-03,1.10,11.7,20.8,32.8,8.7
685,"WINNIBIGOSHISH DAM, MN US",1954-04,1.98,2.0,37.6,48.9,26.3
686,"WINNIBIGOSHISH DAM, MN US",1954-05,3.08,12.5,47.9,58.7,37.2
687,"WINNIBIGOSHISH DAM, MN US",1954-06,1.86,0.0,64.6,76.5,52.6
688,"WINNIBIGOSHISH DAM, MN US",1954-07,4.51,0.0,69.0,81.2,56.8
689,"WINNIBIGOSHISH DAM, MN US",1954-08,2.21,0.0,65.0,76.7,53.5
690,"WINNIBIGOSHISH DAM, MN US",1954-09,2.61,0.0,55.3,64.4,46.3
691,"WINNIBIGOSHISH DAM, MN US",1954-10,1.56,0.0,43.9,52.7,35.1
692,"WINNIBIGOSHISH DAM, MN US",1954-11,0.75,5.0,33.1,40.2,25.9
693,"WINNIBIGOSHISH DAM, MN US",1954-12,0.13,1.0,19.8,27.7,11.8
694,"WINNIBIGOSHISH DAM, MN US",1955-01,0.66,14.0,7.8,17.7,-2.2
695,"WINNIBIGOSHISH DAM, MN US",1955-02,1.44,28.5,7.1,20.2,-5.9
696,"WINNIBIGOSHISH DAM, MN US",1955-03,0.72,17.0,15.6,30.5,0.6
697,"WINNIBIGOSHISH DAM, MN US",1955-04,1.06,5.0,48.2,61.5,35.0
698,"WINNIBIGOSHISH DAM, MN US",1955-05,3.63,0.0,58.4,72.0,44.7
699,"WINNIBIGOSHISH DAM, MN US",1955-06,2.93,0.0,65.3,76.4,54.2
700,"WINNIBIGOSHISH DAM, MN US",1955-07,6.19,0.0,72.5,84.1,60.8
701,"WINNIBIGOSHISH DAM, MN US",1955-08,0.56,0.0,70.5,82.7,58.3
702,"WINNIBIGOSHISH DAM, MN US",1955-09,2.40,0.0,56.8,67.9,45.6
703,"WINNIBIGOSHISH DAM, MN US",1955-10,0.76,1.5,46.2,56.7,35.6
704,"WINNIBIGOSHISH DAM, MN US",1955-11,1.70,15.5,20.4,28.4,12.3
705,"WINNIBIGOSHISH DAM, MN US",1955-12,0.92,14.0,4.6,15.5,-6.3
706,"WINNIBIGOSHISH DAM, MN US",1956-01,1.08,15.0,9.0,20.1,-2.0
707,"WINNIBIGOSHISH DAM, MN US",1956-02,0.35,6.0,7.7,21.9,-6.6
708,"WINNIBIGOSHISH DAM, MN US",1956-03,1.07,26.0,19.3,32.4,6.2
709,"WINNIBIGOSHISH DAM, MN US",1956-04,1.64,10.0,35.3,46.4,24.2
710,"WINNIBIGOSHISH DAM, MN US",1956-05,2.46,3.0,51.3,64.2,38.5
711,"WINNIBIGOSHISH DAM, MN US",1956-06,0.94,0.0,67.6,80.1,55.2
712,"WINNIBIGOSHISH DAM, MN US",1956-07,3.85,0.0,64.8,76.6,53.0
713,"WINNIBIGOSHISH DAM, MN US",1956-08,3.10,0.0,65.5,76.8,54.2
714,"WINNIBIGOSHISH DAM, MN US",1956-09,1.76,0.0,53.0,64.8,41.2
715,"WINNIBIGOSHISH DAM, MN US",1956-10,1.28,0.0,51.1,63.9,38.4
716,"WINNIBIGOSHISH DAM, MN US",1956-11,1.44,0.5,30.0,37.7,22.3
717,"WINNIBIGOSHISH DAM, MN US",1956-12,1.03,17.0,14.3,24.8,3.8
718,"WINNIBIGOSHISH DAM, MN US",1957-01,0.67,7.5,-1.5,11.2,-14.2
719,"WINNIBIGOSHISH DAM, MN US",1957-02,0.79,12.0,9.6,22.6,-3.3
720,"WINNIBIGOSHISH DAM, MN US",1957-03,1.19,21.0,20.9,34.8,6.9
721,"WINNIBIGOSHISH DAM, MN US",1957-04,2.66,10.0,38.7,51.6,25.8
722,"WINNIBIGOSHISH DAM, MN US",1957-05,1.89,0.0,53.8,68.2,39.4
723,"WINNIBIGOSHISH DAM, MN US",1957-06,8.04,0.0,61.5,73.0,50.0
724,"WINNIBIGOSHISH DAM, MN US",1957-07,4.50,0.0,72.2,84.2,60.1
725,"WINNIBIGOSHISH DAM, MN US",1957-08,1.41,0.0,66.3,77.9,54.8
726,"WINNIBIGOSHISH DAM, MN US",1957-09,3.45,0.0,54.9,65.5,44.3
727,"WINNIBIGOSHISH DAM, MN US",1957-10,1.21,0.5,45.3,55.3,35.2
728,"WINNIBIGOSHISH DAM, MN US",1957-11,0.84,3.0,30.0,36.7,23.3
729,"WINNIBIGOSHISH DAM, MN US",1957-12,0.24,3.9,18.1,27.7,8.4
730,"WINNIBIGOSHISH DAM, MN US",1958-01,0.67,10.0,15.5,24.5,6.5
731,"WINNIBIGOSHISH DAM, MN US",1958-02,0.13,1.0,9.9,22.6,-2.8
732,"WINNIBIGOSHISH DAM, MN US",1958-03,0.37,5.0,28.1,39.6,16.7
733,"WINNIBIGOSHISH DAM, MN US",1958-04,0.50,0.0,44.4,57.7,31.1
734,"WINNIBIGOSHISH DAM, MN US",1958-05,1.72,0.0,55.1,70.0,40.2
735,"WINNIBIGOSHISH DAM, MN US",1958-06,4.67,0.0,58.7,71.6,45.8
736,"WINNIBIGOSHISH DAM, MN US",1958-07,1.85,0.0,66.3,78.2,54.4
737,"WINNIBIGOSHISH DAM, MN US",1958-08,3.06,0.0,66.8,80.8,52.8
738,"WINNIBIGOSHISH DAM, MN US",1958-09,3.19,0.0,56.9,67.0,46.7
739,"WINNIBIGOSHISH DAM, MN US",1958-10,0.83,0.0,46.3,56.8,35.9
740,"WINNIBIGOSHISH DAM, MN US",1958-11,2.12,6.0,29.4,38.2,20.6
741,"WINNIBIGOSHISH DAM, MN US",1958-12,0.74,13.0,5.0,15.8,-5.9
742,"WINNIBIGOSHISH DAM, MN US",1959-01,0.30,6.0,-0.1,12.6,-12.7
743,"WINNIBIGOSHISH DAM, MN US",1959-02,0.33,8.0,8.3,22.0,-5.4
744,"WINNIBIGOSHISH DAM, MN US",1959-03,0.17,2.5,26.0,38.3,13.7
745,"WINNIBIGOSHISH DAM, MN US",1959-04,0.70,1.0,40.6,54.3,26.9
746,"WINNIBIGOSHISH DAM, MN US",1959-05,5.04,0.0,55.8,67.8,43.9
747,"WINNIBIGOSHISH DAM, MN US",1959-06,4.89,0.0,65.4,77.9,52.9
748,"WINNIBIGOSHISH DAM, MN US",1959-07,6.06,0.0,69.2,81.5,56.9
749,"WINNIBIGOSHISH DAM, MN US",1959-08,4.39,0.0,69.2,80.5,57.9
750,"WINNIBIGOSHISH DAM, MN US",1959-09,3.95,0.0,56.6,68.3,45.0
751,"WINNIBIGOSHISH DAM, MN US",1959-10,1.86,0.0,40.4,48.2,32.6
752,"WINNIBIGOSHISH DAM, MN US",1959-11,0.78,10.5,18.0,27.6,8.4
753,"WINNIBIGOSHISH DAM, MN US",1959-12,0.90,4.5,22.0,31.7,12.3
754,"WINNIBIGOSHISH DAM, MN US",1960-01,0.67,7.0,8.4,19.6,-2.7
755,"WINNIBIGOSHISH DAM, MN US",1960-02,0.05,0.5,11.1,23.6,-1.4
756,"WINNIBIGOSHISH DAM, MN US",1960-03,0.09,1.0,15.5,29.0,2.0
757,"WINNIBIGOSHISH DAM, MN US",1960-04,3.20,1.5,39.8,51.5,28.2
758,"WINNIBIGOSHISH DAM, MN US",1960-05,2.41,0.0,53.8,67.7,39.9
759,"WINNIBIGOSHISH DAM, MN US",1960-06,5.02,0.0,62.3,75.1,49.6
760,"WINNIBIGOSHISH DAM, MN US",1960-07,3.76,0.0,69.0,82.8,55.2
761,"WINNIBIGOSHISH DAM, MN US",1960-08,2.13,0.0,68.8,80.7,57.0
762,"WINNIBIGOSHISH DAM, MN US",1960-09,2.02,0.0,57.7,69.5,45.8
763,"WINNIBIGOSHISH DAM, MN US",1960-10,0.63,0.0,45.9,57.1,34.8
764,"WINNIBIGOSHISH DAM, MN US",1960-11,0.97,8.9,30.3,38.0,22.7
765,"WINNIBIGOSHISH DAM, MN US",1960-12,1.10,4.0,10.4,22.0,-1.2
766,"WINNIBIGOSHISH DAM, MN US",1961-01,0.24,3.5,5.5,18.0,-7.1
767,"WINNIBIGOSHISH DAM, MN US",1961-02,0.22,2.5,20.0,32.3,7.8
768,"WINNIBIGOSHISH DAM, MN US",1961-03,0.21,0.0,31.7,42.5,21.0
769,"WINNIBIGOSHISH DAM, MN US",1961-04,2.86,21.9,35.1,46.8,23.3
770,"WINNIBIGOSHISH DAM, MN US",1961-05,3.28,0.0,52.5,68.1,36.9
771,"WINNIBIGOSHISH DAM, MN US",1961-06,0.72,0.0,66.9,82.8,51.0
772,"WINNIBIGOSHISH DAM, MN US",1961-07,3.78,0.0,68.5,81.2,55.8
773,"WINNIBIGOSHISH DAM, MN US",1961-08,1.77,0.0,69.3,83.4,55.3
774,"WINNIBIGOSHISH DAM, MN US",1961-09,7.27,0.0,56.6,67.7,45.6
775,"WINNIBIGOSHISH DAM, MN US",1961-10,1.11,0.0,46.8,58.7,34.9
776,"WINNIBIGOSHISH DAM, MN US",1961-11,0.78,0.5,28.6,37.0,20.2
777,"WINNIBIGOSHISH DAM, MN US",1961-12,1.12,13.5,11.4,21.1,1.7
778,"WINNIBIGOSHISH DAM, MN US",1962-01,0.98,12.5,2.2,14.4,-9.9
779,"WINNIBIGOSHISH DAM, MN US",1962-02,1.16,9.5,5.9,19.5,-7.6
780,"WINNIBIGOSHISH DAM, MN US",1962-03,0.48,6.0,26.4,36.4,16.3
781,"WINNIBIGOSHISH DAM, MN US",1962-04,2.89,6.5,37.7,51.3,24.0
782,"WINNIBIGOSHISH DAM, MN US",1962-05,8.63,0.0,54.6,66.5,42.8
783,"WINNIBIGOSHISH DAM, MN US",1962-06,5.31,0.0,63.2,75.8,50.6
784,"WINNIBIGOSHISH DAM, MN US",1962-07,3.78,0.0,65.0,76.9,53.0
785,"WINNIBIGOSHISH DAM, MN US",1962-08,2.26,0.0,67.1,79.5,54.8
786,"WINNIBIGOSHISH DAM, MN US",1962-09,2.51,0.0,55.2,67.7,42.7
787,"WINNIBIGOSHISH DAM, MN US",1962-10,0.45,0.5,48.8,59.4,38.2
788,"WINNIBIGOSHISH DAM, MN US",1962-11,0.15,0.5,32.8,40.7,25.0
789,"WINNIBIGOSHISH DAM, MN US",1962-12,0.84,7.0,14.9,26.0,3.7
790,"WINNIBIGOSHISH DAM, MN US",1963-01,0.05,0.5,-0.6,9.8,-10.9
791,"WINNIBIGOSHISH DAM, MN US",1963-02,0.59,8.0,7.6,21.3,-6.0
792,"WINNIBIGOSHISH DAM, MN US",1963-03,1.04,13.5,29.1,42.9,15.2
793,"WINNIBIGOSHISH DAM, MN US",1963-04,2.62,0.0,43.3,57.4,29.3
794,"WINNIBIGOSHISH DAM, MN US",1963-05,3.93,0.0,51.7,65.1,38.4
795,"WINNIBIGOSHISH DAM, MN US",1963-06,3.87,0.0,66.7,79.8,53.6
796,"WINNIBIGOSHISH DAM, MN US",1963-07,4.14,0.0,71.0,83.2,58.9
797,"WINNIBIGOSHISH DAM, MN US",1963-08,2.41,0.0,66.0,78.5,53.5
798,"WINNIBIGOSHISH DAM, MN US",1963-09,1.42,0.0,60.0,71.9,48.0
799,"WINNIBIGOSHISH DAM, MN US",1963-10,0.51,0.0,56.4,69.5,43.2
800,"WINNIBIGOSHISH DAM, MN US",1963-11,1.38,2.0,33.9,42.7,25.2
801,"WINNIBIGOSHISH DAM, MN US",1963-12,0.66,9.5,7.1,16.9,-2.8
802,"WINNIBIGOSHISH DAM, MN US",1964-01,0.41,5.5,13.9,25.5,2.3
803,"WINNIBIGOSHISH DAM, MN US",1964-02,0.34,4.0,14.0,29.2,-1.2
804,"WINNIBIGOSHISH DAM, MN US",1964-03,0.77,5.5,19.9,33.3,6.5
805,"WINNIBIGOSHISH DAM, MN US",1964-04,3.30,7.5,42.2,56.9,27.4
806,"WINNIBIGOSHISH DAM, MN US",1964-05,2.69,0.0,58.6,72.4,44.9
807,"WINNIBIGOSHISH DAM, MN US",1964-06,5.30,0.0,62.4,75.7,49.1
808,"WINNIBIGOSHISH DAM, MN US",1964-07,3.39,0.0,70.8,83.7,57.9
809,"WINNIBIGOSHISH DAM, MN US",1964-08,4.77,0.0,63.0,75.3,50.7
810,"WINNIBIGOSHISH DAM, MN US",1964-09,3.46,0.0,54.6,66.6,42.6
811,"WINNIBIGOSHISH DAM, MN US",1964-10,0.38,0.0,45.4,56.7,34.1
812,"WINNIBIGOSHISH DAM, MN US",1964-11,0.88,6.5,30.1,38.4,21.8
813,"WINNIBIGOSHISH DAM, MN US",1964-12,0.97,14.5,6.3,16.2,-3.6
814,"WINNIBIGOSHISH DAM, MN US",1965-01,0.45,6.5,2.2,16.1,-11.8
815,"WINNIBIGOSHISH DAM, MN US",1965-02,0.37,4.5,6.4,19.8,-6.9
816,"WINNIBIGOSHISH DAM, MN US",1965-03,2.61,24.5,14.3,28.2,0.4
817,"WINNIBIGOSHISH DAM, MN US",1965-04,1.53,0.0,40.0,50.2,29.9
818,"WINNIBIGOSHISH DAM, MN US",1965-05,4.78,0.0,54.7,67.2,42.3
819,"WINNIBIGOSHISH DAM, MN US",1965-06,3.95,0.0,62.4,75.2,49.6
820,"WINNIBIGOSHISH DAM, MN US",1965-07,1.91,0.0,66.6,78.9,54.2
821,"WINNIBIGOSHISH DAM, MN US",1965-08,3.82,0.0,64.8,77.7,51.8
822,"WINNIBIGOSHISH DAM, MN US",1965-09,5.83,0.0,48.3,57.4,39.3
823,"WINNIBIGOSHISH DAM, MN US",1965-10,1.21,0.0,46.1,56.0,36.2
824,"WINNIBIGOSHISH DAM, MN US",1965-11,2.66,22.5,27.1,35.8,18.5
825,"WINNIBIGOSHISH DAM, MN US",1965-12,1.68,14.4,20.2,27.8,12.7
826,"WINNIBIGOSHISH DAM, MN US",1966-01,0.99,15.0,-5.7,6.9,-18.3
827,"WINNIBIGOSHISH DAM, MN US",1966-02,0.85,1.0,8.9,22.3,-4.6
828,"WINNIBIGOSHISH DAM, MN US",1966-03,2.94,24.0,29.2,40.2,18.2
829,"WINNIBIGOSHISH DAM, MN US",1966-04,2.76,15.9,36.2,45.9,26.4
830,"WINNIBIGOSHISH DAM, MN US",1966-05,1.54,0.0,49.6,63.0,36.2
831,"WINNIBIGOSHISH DAM, MN US",1966-06,2.06,0.0,64.3,77.2,51.4
832,"WINNIBIGOSHISH DAM, MN US",1966-07,4.30,0.0,71.7,84.6,58.8
833,"WINNIBIGOSHISH DAM, MN US",1966-08,6.07,0.0,63.8,76.0,51.6
834,"WINNIBIGOSHISH DAM, MN US",1966-09,0.44,0.0,56.9,70.1,43.6
835,"WINNIBIGOSHISH DAM, MN US",1966-10,2.60,0.0,44.7,55.7,33.7
836,"WINNIBIGOSHISH DAM, MN US",1966-11,0.55,4.0,24.2,33.4,15.0
837,"WINNIBIGOSHISH DAM, MN US",1966-12,1.10,10.0,12.7,22.1,3.3
838,"WINNIBIGOSHISH DAM, MN US",1967-01,1.58,17.5,8.4,19.4,-2.7
839,"WINNIBIGOSHISH DAM, MN US",1967-02,0.41,5.6,3.4,19.0,-12.2
840,"WINNIBIGOSHISH DAM, MN US",1967-03,1.37,10.4,24.4,36.9,11.9
841,"WINNIBIGOSHISH DAM, MN US",1967-04,2.24,0.5,39.4,51.0,27.9
842,"WINNIBIGOSHISH DAM, MN US",1967-05,0.69,0.0,48.1,61.3,35.0
843,"WINNIBIGOSHISH DAM, MN US",1967-06,5.19,0.0,61.9,73.9,49.9
844,"WINNIBIGOSHISH DAM, MN US",1967-07,1.24,0.0,67.4,80.3,54.4
845,"WINNIBIGOSHISH DAM, MN US",1967-08,0.81,0.0,64.2,78.0,50.4
846,"WINNIBIGOSHISH DAM, MN US",1967-09,1.28,0.0,58.2,72.1,44.4
847,"WINNIBIGOSHISH DAM, MN US",1967-10,1.39,0.5,43.3,53.7,32.9
848,"WINNIBIGOSHISH DAM, MN US",1967-11,0.52,2.0,27.2,34.8,19.6
849,"WINNIBIGOSHISH DAM, MN US",1967-12,1.09,8.5,14.8,23.5,6.1
850,"WINNIBIGOSHISH DAM, MN US",1968-01,0.71,7.5,7.7,18.9,-3.6
851,"WINNIBIGOSHISH DAM, MN US",1968-02,0.02,0.5,8.7,21.4,-4.1
852,"WINNIBIGOSHISH DAM, MN US",1968-03,1.17,2.5,32.5,45.9,19.2
853,"WINNIBIGOSHISH DAM, MN US",1968-04,3.61,15.5,42.7,55.3,30.1
854,"WINNIBIGOSHISH DAM, MN US",1968-05,2.48,0.0,51.6,63.6,39.6
855,"WINNIBIGOSHISH DAM, MN US",1968-06,7.04,0.0,62.1,74.0,50.3
856,"WINNIBIGOSHISH DAM, MN US",1968-07,1.85,0.0,66.9,78.3,55.5
857,"WINNIBIGOSHISH DAM, MN US",1968-08,2.89,0.0,65.5,77.0,54.0
858,"WINNIBIGOSHISH DAM, MN US",1968-09,3.69,0.0,57.6,68.2,47.0
859,"WINNIBIGOSHISH DAM, MN US",1968-10,3.13,0.0,47.8,57.7,37.9
860,"WINNIBIGOSHISH DAM, MN US",1968-11,0.34,4.0,30.9,38.0,23.7
861,"WINNIBIGOSHISH DAM, MN US",1968-12,2.35,27.6,10.8,19.0,2.7
862,"WINNIBIGOSHISH DAM, MN US",1969-01,3.44,34.5,3.7,13.5,-6.0
863,"WINNIBIGOSHISH DAM, MN US",1969-02,0.42,3.0,14.4,25.3,3.5
864,"WINNIBIGOSHISH DAM, MN US",1969-03,0.24,0.5,20.9,34.3,7.6
865,"WINNIBIGOSHISH DAM, MN US",1969-04,1.35,0.0,44.2,57.3,31.1
866,"WINNIBIGOSHISH DAM, MN US",1969-05,3.61,0.0,53.8,67.1,40.6
867,"WINNIBIGOSHISH DAM, MN US",1969-06,2.32,0.0,56.7,69.1,44.4
868,"WINNIBIGOSHISH DAM, MN US",1969-07,6.52,0.0,67.7,79.9,55.5
869,"WINNIBIGOSHISH DAM, MN US",1969-08,1.90,0.0,69.8,82.8,56.8
870,"WINNIBIGOSHISH DAM, MN US",1969-09,4.27,0.0,57.6,68.5,46.7
871,"WINNIBIGOSHISH DAM, MN US",1969-10,5.04,4.0,40.5,48.9,32.0
872,"WINNIBIGOSHISH DAM, MN US",1969-11,1.09,7.5,29.0,36.8,21.2
873,"WINNIBIGOSHISH DAM, MN US",1969-12,1.31,16.5,17.0,24.7,9.2
874,"WINNIBIGOSHISH DAM, MN US",1970-01,0.28,4.5,2.6,14.2,-9.1
875,"WINNIBIGOSHISH DAM, MN US",1970-02,0.25,6.1,11.2,24.7,-2.3
876,"WINNIBIGOSHISH DAM, MN US",1970-03,0.96,2.5,18.7,33.0,4.4
877,"WINNIBIGOSHISH DAM, MN US",1970-04,3.66,14.5,39.1,50.7,27.4
878,"WINNIBIGOSHISH DAM, MN US",1970-05,1.95,0.0,50.1,61.8,38.5
879,"WINNIBIGOSHISH DAM, MN US",1970-06,2.74,0.0,66.6,79.5,53.8
880,"WINNIBIGOSHISH DAM, MN US",1970-07,2.43,0.0,71.1,84.9,57.4
881,"WINNIBIGOSHISH DAM, MN US",1970-08,0.49,0.0,67.7,80.8,54.6
882,"WINNIBIGOSHISH DAM, MN US",1970-09,1.35,0.0,58.1,70.0,46.2
883,"WINNIBIGOSHISH DAM, MN US",1970-10,5.72,1.5,45.1,54.8,35.5
884,"WINNIBIGOSHISH DAM, MN US",1970-11,1.35,7.5,27.2,34.3,20.1
885,"WINNIBIGOSHISH DAM, MN US",1970-12,2.35,24.0,9.1,19.7,-1.6
886,"WINNIBIGOSHISH DAM, MN US",1971-01,0.74,16.5,-1.8,9.8,-13.5
887,"WINNIBIGOSHISH DAM, MN US",1971-02,1.11,12.6,12.4,24.7,0.1
888,"WINNIBIGOSHISH DAM, MN US",1971-03,0.82,8.5,23.3,35.0,11.5
889,"WINNIBIGOSHISH DAM, MN US",1971-04,0.93,3.5,40.9,53.9,28.0
890,"WINNIBIGOSHISH DAM, MN US",1971-05,2.69,0.0,52.1,66.5,37.6
891,"WINNIBIGOSHISH DAM, MN US",1971-06,4.84,0.0,66.8,79.8,53.9
892,"WINNIBIGOSHISH DAM, MN US",1971-07,2.65,0.0,65.0,76.4,53.5
893,"WINNIBIGOSHISH DAM, MN US",1971-08,1.17,0.0,65.7,78.8,52.6
894,"WINNIBIGOSHISH DAM, MN US",1971-09,3.58,0.0,58.5,69.6,47.3
895,"WINNIBIGOSHISH DAM, MN US",1971-10,6.80,0.0,48.7,57.7,39.7
896,"WINNIBIGOSHISH DAM, MN US",1971-11,1.49,7.0,27.8,34.1,21.5
897,"WINNIBIGOSHISH DAM, MN US",1971-12,0.47,8.0,12.8,22.2,3.4
898,"WINNIBIGOSHISH DAM, MN US",1972-01,1.06,17.0,-0.7,10.6,-12.0
899,"WINNIBIGOSHISH DAM, MN US",1972-02,0.58,11.0,4.6,16.7,-7.5
900,"WINNIBIGOSHISH DAM, MN US",1972-03,1.04,7.0,21.2,32.8,9.7
901,"WINNIBIGOSHISH DAM, MN US",1972-04,1.55,3.0,37.6,48.7,26.5
902,"WINNIBIGOSHISH DAM, MN US",1972-05,2.15,0.0,58.7,72.0,45.2
903,"WINNIBIGOSHISH DAM, MN US",1972-06,1.89,0.0,64.4,77.9,50.9
904,"WINNIBIGOSHISH DAM, MN US",1972-07,4.72,0.0,65.9,77.8,54.1
